loss now: tensor(1927.4673, grad_fn=<AddBackward0>)
loss now: tensor(1924.0879, grad_fn=<AddBackward0>)
loss now: tensor(1919.2275, grad_fn=<AddBackward0>)
loss now: tensor(1913.6781, grad_fn=<AddBackward0>)
loss now: tensor(1909.4232, grad_fn=<AddBackward0>)
loss now: tensor(1905.3499, grad_fn=<AddBackward0>)
loss now: tensor(1900.7869, grad_fn=<AddBackward0>)
loss now: tensor(1896.3744, grad_fn=<AddBackward0>)
loss now: tensor(1892.1528, grad_fn=<AddBackward0>)
loss now: tensor(1888.1918, grad_fn=<AddBackward0>)
loss now: tensor(1884.2825, grad_fn=<AddBackward0>)
loss now: tensor(1879.9783, grad_fn=<AddBackward0>)
loss now: tensor(1875.8145, grad_fn=<AddBackward0>)
loss now: tensor(1872.1882, grad_fn=<AddBackward0>)
loss now: tensor(1868.4708, grad_fn=<AddBackward0>)

Week 10 finished!

loss now: tensor(1881.7936, grad_fn=<AddBackward0>)
loss now: tensor(1877.1042, grad_fn=<AddBackward0>)
loss now: tensor(1873.3594, grad_fn=<AddBackward0>)
loss now: tensor(1869.3300, grad_fn=<AddBackward0>)
loss now: tensor(1864.6489, grad_fn=<AddBackward0>)
loss now: tensor(1860.3983, grad_fn=<AddBackward0>)
loss now: tensor(1857.8684, grad_fn=<AddBackward0>)
loss now: tensor(1858.0394, grad_fn=<AddBackward0>)
loss now: tensor(1861.1829, grad_fn=<AddBackward0>)
loss now: tensor(1863.9380, grad_fn=<AddBackward0>)
loss now: tensor(1857.2504, grad_fn=<AddBackward0>)
loss now: tensor(1842.3118, grad_fn=<AddBackward0>)
loss now: tensor(1832.5707, grad_fn=<AddBackward0>)
loss now: tensor(1833.2488, grad_fn=<AddBackward0>)
loss now: tensor(1832.0327, grad_fn=<AddBackward0>)
loss now: tensor(1823.7620, grad_fn=<AddBackward0>)
loss now: tensor(1817.5424, grad_fn=<AddBackward0>)
loss now: tensor(1815.3143, grad_fn=<AddBackward0>)
loss now: tensor(1811.5123, grad_fn=<AddBackward0>)
loss now: tensor(1806.3223, grad_fn=<AddBackward0>)

Week 11 finished!

loss now: tensor(1811.0116, grad_fn=<AddBackward0>)
